Area of Visit,Port of Entry,Percentage
Saitama,Takamatsu,0
Saitama,Fukuoka,0.2596
Saitama,Hakata Port,0
Saitama,Saga,0
Saitama,Izuhara Port,0
Saitama,Miyazaki,0
Saitama,Kagoshima,0
Saitama,Naha,0
Saitama,Other,0.0362
Chiba,New Chitose,0.25
Chiba,Hakodate,0.0139
Chiba,Aomori,0.0054
Chiba,Sendai,0.0711
Chiba,Ibaraki,0.0453
Chiba,Haneda,8.4129
Chiba,Narita,81.401
Chiba,Komatsu,0.0126
Chiba,Toyama,0.0008
Chiba,Mt.Fuji Shizuoka,0.0067
Chiba,Chubu,0.557
Chiba,Kansai,8.4367
Chiba,Yonago,0
Chiba,Okayama,0.0119
Chiba,Hiroshima,0.0317
Chiba,Sakai Port,0
Chiba,Kanmon (Shimonoseki) Port,0.0056
Chiba,Takamatsu,0.0109
Chiba,Fukuoka,0.3037
Chiba,Hakata Port,0.0618
Chiba,Saga,0
Chiba,Izuhara Port,0
Chiba,Miyazaki,0
Chiba,Kagoshima,0
Chiba,Naha,0.0694
Chiba,Other,0.2915
Tokyo,New Chitose,0.3333
Tokyo,Hakodate,0.0131
Tokyo,Aomori,0.0059
Tokyo,Sendai,0.0858
Tokyo,Ibaraki,0.0401
Tokyo,Haneda,30.3799
Tokyo,Narita,57.6389
Tokyo,Komatsu,0.0145
Tokyo,Toyama,0.0193
Tokyo,Mt.Fuji Shizuoka,0.0416
Tokyo,Chubu,0.94
Tokyo,Kansai,9.5711
Tokyo,Yonago,0
Tokyo,Okayama,0.0128
Tokyo,Hiroshima,0.0372
Tokyo,Sakai Port,0
Tokyo,Kanmon (Shimonoseki) Port,0.007
Tokyo,Takamatsu,0.008
Tokyo,Fukuoka,0.3975
Tokyo,Hakata Port,0.0565
Tokyo,Saga,0.0016
Tokyo,Izuhara Port,0
Tokyo,Miyazaki,0
Tokyo,Kagoshima,0.001
Tokyo,Naha,0.0851
Tokyo,Other,0.3099
Kanagawa,New Chitose,0.1172
Kanagawa,Hakodate,0
Kanagawa,Aomori,0.0112
Kanagawa,Sendai,0.0303
Kanagawa,Ibaraki,0.0213
Kanagawa,Haneda,36.5484
Kanagawa,Narita,53.2171
Kanagawa,Komatsu,0
Kanagawa,Toyama,0.0035
Kanagawa,Mt.Fuji Shizuoka,0.1396
Kanagawa,Chubu,1.0371
Kanagawa,Kansai,7.2563
Kanagawa,Yonago,0
Kanagawa,Okayama,0.012
Kanagawa,Hiroshima,0.0114
Kanagawa,Sakai Port,0
Kanagawa,Kanmon (Shimonoseki) Port,0
Kanagawa,Takamatsu,0.0169
Kanagawa,Fukuoka,0.3644
Kanagawa,Hakata Port,0.1539
Kanagawa,Saga,0
Kanagawa,Izuhara Port,0
Kanagawa,Miyazaki,0
Kanagawa,Kagoshima,0
Kanagawa,Naha,0.0476
Kanagawa,Other,1.012
Niigata,New Chitose,1.2274
Niigata,Hakodate,0
Niigata,Aomori,0
Niigata,Sendai,0.6718
Niigata,Ibaraki,0.1573
Niigata,Haneda,30.8738
Niigata,Narita,56.5305
Niigata,Komatsu,0.5904
Niigata,Toyama,0
Niigata,Mt.Fuji Shizuoka,0
Niigata,Chubu,1.1847
Niigata,Kansai,3.3558
Niigata,Yonago,0
Niigata,Okayama,0
Niigata,Hiroshima,0
Niigata,Sakai Port,0
Niigata,Kanmon (Shimonoseki) Port,0
Niigata,Takamatsu,0
Niigata,Fukuoka,0.5055
Niigata,Hakata Port,0
Niigata,Saga,0
Niigata,Izuhara Port,0
Niigata,Miyazaki,0
Niigata,Kagoshima,0
Niigata,Naha,0
Niigata,Other,4.9027
Toyama,New Chitose,0.063
Toyama,Hakodate,0
Toyama,Aomori,0
Toyama,Sendai,0
Toyama,Ibaraki,0
Toyama,Haneda,9.992
Toyama,Narita,18.7327
Toyama,Komatsu,11.9559
Toyama,Toyama,2.0931
Toyama,Mt.Fuji Shizuoka,0.0487
Toyama,Chubu,49.4752
Toyama,Kansai,7.472
Toyama,Yonago,0
Toyama,Okayama,0
Toyama,Hiroshima,0
Toyama,Sakai Port,0
Toyama,Kanmon (Shimonoseki) Port,0
Toyama,Takamatsu,0
Toyama,Fukuoka,0
Toyama,Hakata Port,0
Toyama,Saga,0
Toyama,Izuhara Port,0
Toyama,Miyazaki,0
Toyama,Kagoshima,0
Toyama,Naha,0
Toyama,Other,0.1673
Ishikawa,New Chitose,0.0903
Ishikawa,Hakodate,0
Ishikawa,Aomori,0
Ishikawa,Sendai,0
Ishikawa,Ibaraki,0
Ishikawa,Haneda,29.0693
Ishikawa,Narita,26.8613
Ishikawa,Komatsu,8.0249
Ishikawa,Toyama,0.8068
Ishikawa,Mt.Fuji Shizuoka,0
Ishikawa,Chubu,22.9509
Ishikawa,Kansai,11.3096
Ishikawa,Yonago,0
Ishikawa,Okayama,0
Ishikawa,Hiroshima,0.1377
Ishikawa,Sakai Port,0
Ishikawa,Kanmon (Shimonoseki) Port,0
Ishikawa,Takamatsu,0
Ishikawa,Fukuoka,0.3209
Ishikawa,Hakata Port,0.0835
Ishikawa,Saga,0
Ishikawa,Izuhara Port,0
Ishikawa,Miyazaki,0
Ishikawa,Kagoshima,0
Ishikawa,Naha,0.0371
Ishikawa,Other,0.3077
Fukui,New Chitose,0.7224
Fukui,Hakodate,0
Fukui,Aomori,0
Fukui,Sendai,0
Fukui,Ibaraki,0
Fukui,Haneda,17.6496
Fukui,Narita,20.8169
Fukui,Komatsu,7.5458
Fukui,Toyama,0.6504
Fukui,Mt.Fuji Shizuoka,0
Fukui,Chubu,29.7861
Fukui,Kansai,22.362
Fukui,Yonago,0
Fukui,Okayama,0.4668
Fukui,Hiroshima,0
Fukui,Sakai Port,0
Fukui,Kanmon (Shimonoseki) Port,0
Fukui,Takamatsu,0
Fukui,Fukuoka,0
Fukui,Hakata Port,0
Fukui,Saga,0
Fukui,Izuhara Port,0
Fukui,Miyazaki,0
Fukui,Kagoshima,0
Fukui,Naha,0
Fukui,Other,0
Yamanashi,New Chitose,0.2028
Yamanashi,Hakodate,0
Yamanashi,Aomori,0
Yamanashi,Sendai,0.0187
Yamanashi,Ibaraki,0.024
Yamanashi,Haneda,24.4679
Yamanashi,Narita,55.1413
Yamanashi,Komatsu,0.0168
Yamanashi,Toyama,0.0069
Yamanashi,Mt.Fuji Shizuoka,0.3654
Yamanashi,Chubu,2.0991
Yamanashi,Kansai,16.8315
Yamanashi,Yonago,0
Yamanashi,Okayama,0
Yamanashi,Hiroshima,0.0322
Yamanashi,Sakai Port,0
Yamanashi,Kanmon (Shimonoseki) Port,0
Yamanashi,Takamatsu,0
Yamanashi,Fukuoka,0.2501
Yamanashi,Hakata Port,0.1498
Yamanashi,Saga,0
Yamanashi,Izuhara Port,0
Yamanashi,Miyazaki,0
Yamanashi,Kagoshima,0.0089
Yamanashi,Naha,0.0235
Yamanashi,Other,0.361
Nagano,New Chitose,0.2049
Nagano,Hakodate,0
Nagano,Aomori,0
Nagano,Sendai,0.0226
Nagano,Ibaraki,0.0031
Nagano,Haneda,24.3186
Nagano,Narita,48.7474
Nagano,Komatsu,1.1407
Nagano,Toyama,0.0098
Nagano,Mt.Fuji Shizuoka,0.0103
Nagano,Chubu,17.0568
Nagano,Kansai,7.6125
Nagano,Yonago,0
Nagano,Okayama,0
