Area of Visit,Places to Shop,Percentage
Ishikawa,Other shopping centers,11.5999
Ishikawa,Railway station boutiques,14.0108
Ishikawa,Airport duty-free stores,52.393
Ishikawa,Stores at a port of call by cruise ship,0.4801
Ishikawa,Other,3.4769
Ishikawa,I did not go shopping.,0.3495
Fukui,Department stores,67.2253
Fukui,Consumer electronics stores,13.8533
Fukui,Fashion boutiques,25.8186
Fukui,100 Yen Shops,21.1769
Fukui,Service areas on expressways/Michi-no-eki (Road Stations),17.8021
Fukui,Tourist souvenir shops,68.8792
Fukui,Accomodation facilities,5.9564
Fukui,Supermarkets,63.257
Fukui,Convenience stores,86.5609
Fukui,Drugstores,60.3732
Fukui,Discount stores,25.107
Fukui,Outlet malls,14.1903
Fukui,Commercial complexes in urban centers,18.9227
Fukui,Other shopping centers,14.1331
Fukui,Railway station boutiques,14.166
Fukui,Airport duty-free stores,60.8358
Fukui,Stores at a port of call by cruise ship,0
Fukui,Other,4.2339
Fukui,I did not go shopping.,0
Yamanashi,Department stores,63.2765
Yamanashi,Consumer electronics stores,17.8134
Yamanashi,Fashion boutiques,31.7335
Yamanashi,100 Yen Shops,12.3422
Yamanashi,Service areas on expressways/Michi-no-eki (Road Stations),8.3992
Yamanashi,Tourist souvenir shops,55.248
Yamanashi,Accomodation facilities,4.6726
Yamanashi,Supermarkets,53.5972
Yamanashi,Convenience stores,86.289
Yamanashi,Drugstores,59.1407
Yamanashi,Discount stores,28.4924
Yamanashi,Outlet malls,17.9248
Yamanashi,Commercial complexes in urban centers,17.1071
Yamanashi,Other shopping centers,13.9353
Yamanashi,Railway station boutiques,9.7259
Yamanashi,Airport duty-free stores,65.2015
Yamanashi,Stores at a port of call by cruise ship,0.4333
Yamanashi,Other,3.2536
Yamanashi,I did not go shopping.,0.2351
Nagano,Department stores,57.4903
Nagano,Consumer electronics stores,15.5023
Nagano,Fashion boutiques,28.2523
Nagano,100 Yen Shops,12.4653
Nagano,Service areas on expressways/Michi-no-eki (Road Stations),12.1206
Nagano,Tourist souvenir shops,58.9966
Nagano,Accomodation facilities,5.187
Nagano,Supermarkets,54.6154
Nagano,Convenience stores,87.5672
Nagano,Drugstores,54.534
Nagano,Discount stores,23.6374
Nagano,Outlet malls,21.122
Nagano,Commercial complexes in urban centers,13.946
Nagano,Other shopping centers,12.0751
Nagano,Railway station boutiques,12.7718
Nagano,Airport duty-free stores,59.6333
Nagano,Stores at a port of call by cruise ship,0.2535
Nagano,Other,3.3391
Nagano,I did not go shopping.,0.6372
Gifu,Department stores,59.0034
Gifu,Consumer electronics stores,15.2922
Gifu,Fashion boutiques,25.9379
Gifu,100 Yen Shops,12.7639
Gifu,Service areas on expressways/Michi-no-eki (Road Stations),16.6463
Gifu,Tourist souvenir shops,63.6625
Gifu,Accomodation facilities,5.6684
Gifu,Supermarkets,49.4764
Gifu,Convenience stores,84.817
Gifu,Drugstores,59.4795
Gifu,Discount stores,29.2255
Gifu,Outlet malls,12.7466
Gifu,Commercial complexes in urban centers,17.5336
Gifu,Other shopping centers,10.1809
Gifu,Railway station boutiques,10.6647
Gifu,Airport duty-free stores,65.8863
Gifu,Stores at a port of call by cruise ship,0.277
Gifu,Other,2.6373
Gifu,I did not go shopping.,0.3662
Shizuoka,Department stores,59.7932
Shizuoka,Consumer electronics stores,16.5323
Shizuoka,Fashion boutiques,31.45
Shizuoka,100 Yen Shops,13.1668
Shizuoka,Service areas on expressways/Michi-no-eki (Road Stations),11.247
Shizuoka,Tourist souvenir shops,52.7933
Shizuoka,Accomodation facilities,4.079
Shizuoka,Supermarkets,48.829
Shizuoka,Convenience stores,83.855
Shizuoka,Drugstores,59.8808
Shizuoka,Discount stores,23.9645
Shizuoka,Outlet malls,29.3454
Shizuoka,Commercial complexes in urban centers,15.5937
Shizuoka,Other shopping centers,12.5885
Shizuoka,Railway station boutiques,8.112
Shizuoka,Airport duty-free stores,65.9952
Shizuoka,Stores at a port of call by cruise ship,1.0932
Shizuoka,Other,3.5073
Shizuoka,I did not go shopping.,0.3812
Aichi,Department stores,60.6299
Aichi,Consumer electronics stores,16.7762
Aichi,Fashion boutiques,23.3642
Aichi,100 Yen Shops,13.3644
Aichi,Service areas on expressways/Michi-no-eki (Road Stations),14.4254
Aichi,Tourist souvenir shops,53.571
Aichi,Accomodation facilities,6.2573
Aichi,Supermarkets,46.3289
Aichi,Convenience stores,86.6766
Aichi,Drugstores,67.1413
Aichi,Discount stores,28.6674
Aichi,Outlet malls,13.1544
Aichi,Commercial complexes in urban centers,18.3024
Aichi,Other shopping centers,11.6913
Aichi,Railway station boutiques,8.6493
Aichi,Airport duty-free stores,74.435
Aichi,Stores at a port of call by cruise ship,0.2695
Aichi,Other,2.3805
Aichi,I did not go shopping.,0.2053
Mie,Department stores,63.5626
Mie,Consumer electronics stores,16.5673
Mie,Fashion boutiques,26.9055
Mie,100 Yen Shops,17.1009
