Area of Visit,Port of Departure,Percentage
Kanagawa,Aomori,0.0071
Kanagawa,Sendai,0.0147
Kanagawa,Ibaraki,0.0436
Kanagawa,Haneda,34.2218
Kanagawa,Narita,53.9581
Kanagawa,Komatsu,0.013
Kanagawa,Toyama,0.0035
Kanagawa,Mt.Fuji Shizuoka,0.2101
Kanagawa,Chubu,0.77
Kanagawa,Kansai,10.3564
Kanagawa,Yonago,0
Kanagawa,Okayama,0.0053
Kanagawa,Hiroshima,0.015
Kanagawa,Sakai Port,0
Kanagawa,Kanmon (Shimonoseki) Port,0
Kanagawa,Takamatsu,0
Kanagawa,Fukuoka,0.2047
Kanagawa,Hakata Port,0.0143
Kanagawa,Saga,0
Kanagawa,Izuhara Port,0
Kanagawa,Miyazaki,0
Kanagawa,Kagoshima,0
Kanagawa,Naha,0.0167
Kanagawa,Other,0
Niigata,New Chitose,0.2378
Niigata,Hakodate,0
Niigata,Aomori,0
Niigata,Sendai,4.1143
Niigata,Ibaraki,0.3098
Niigata,Haneda,32.8274
Niigata,Narita,55.6298
Niigata,Komatsu,0.3998
Niigata,Toyama,0.0364
Niigata,Mt.Fuji Shizuoka,0.3002
Niigata,Chubu,2.2738
Niigata,Kansai,2.7019
Niigata,Yonago,0
Niigata,Okayama,0
Niigata,Hiroshima,0.079
Niigata,Sakai Port,0
Niigata,Kanmon (Shimonoseki) Port,0
Niigata,Takamatsu,0
Niigata,Fukuoka,0.8201
Niigata,Hakata Port,0
Niigata,Saga,0
Niigata,Izuhara Port,0
Niigata,Miyazaki,0
Niigata,Kagoshima,0
Niigata,Naha,0.2697
Niigata,Other,0
Toyama,New Chitose,0.1159
Toyama,Hakodate,0
Toyama,Aomori,0
Toyama,Sendai,0
Toyama,Ibaraki,0
Toyama,Haneda,9.5596
Toyama,Narita,20.9858
Toyama,Komatsu,12.803
Toyama,Toyama,2.0116
Toyama,Mt.Fuji Shizuoka,0.0487
Toyama,Chubu,47.3737
Toyama,Kansai,6.7349
Toyama,Yonago,0
Toyama,Okayama,0
Toyama,Hiroshima,0
Toyama,Sakai Port,0
Toyama,Kanmon (Shimonoseki) Port,0
Toyama,Takamatsu,0
Toyama,Fukuoka,0.3668
Toyama,Hakata Port,0
Toyama,Saga,0
Toyama,Izuhara Port,0
Toyama,Miyazaki,0
Toyama,Kagoshima,0
Toyama,Naha,0
Toyama,Other,0
Ishikawa,New Chitose,0.1437
Ishikawa,Hakodate,0
Ishikawa,Aomori,0
Ishikawa,Sendai,0
Ishikawa,Ibaraki,0
Ishikawa,Haneda,25.5163
Ishikawa,Narita,26.6855
Ishikawa,Komatsu,8.9825
Ishikawa,Toyama,0.7516
Ishikawa,Mt.Fuji Shizuoka,0
Ishikawa,Chubu,20.5751
Ishikawa,Kansai,16.8722
Ishikawa,Yonago,0
Ishikawa,Okayama,0.0837
Ishikawa,Hiroshima,0.0256
Ishikawa,Sakai Port,0
Ishikawa,Kanmon (Shimonoseki) Port,0
Ishikawa,Takamatsu,0
Ishikawa,Fukuoka,0.3638
Ishikawa,Hakata Port,0
Ishikawa,Saga,0
Ishikawa,Izuhara Port,0
Ishikawa,Miyazaki,0
Ishikawa,Kagoshima,0
Ishikawa,Naha,0
Ishikawa,Other,0
Fukui,New Chitose,0
Fukui,Hakodate,0
Fukui,Aomori,0
Fukui,Sendai,0
Fukui,Ibaraki,0
Fukui,Haneda,18.3966
Fukui,Narita,20.5577
Fukui,Komatsu,9.576
Fukui,Toyama,0.169
Fukui,Mt.Fuji Shizuoka,0
Fukui,Chubu,29.6987
Fukui,Kansai,21.602
Fukui,Yonago,0
Fukui,Okayama,0
Fukui,Hiroshima,0
Fukui,Sakai Port,0
Fukui,Kanmon (Shimonoseki) Port,0
Fukui,Takamatsu,0
Fukui,Fukuoka,0
Fukui,Hakata Port,0
Fukui,Saga,0
Fukui,Izuhara Port,0
Fukui,Miyazaki,0
Fukui,Kagoshima,0
Fukui,Naha,0
Fukui,Other,0
Yamanashi,New Chitose,0.0265
Yamanashi,Hakodate,0
Yamanashi,Aomori,0
Yamanashi,Sendai,0.0146
Yamanashi,Ibaraki,0.0624
Yamanashi,Haneda,25.3986
Yamanashi,Narita,60.753
Yamanashi,Komatsu,0
Yamanashi,Toyama,0.0069
Yamanashi,Mt.Fuji Shizuoka,0.4676
Yamanashi,Chubu,1.4488
Yamanashi,Kansai,11.6558
Yamanashi,Yonago,0
Yamanashi,Okayama,0.0205
Yamanashi,Hiroshima,0.0032
Yamanashi,Sakai Port,0
Yamanashi,Kanmon (Shimonoseki) Port,0
Yamanashi,Takamatsu,0.0081
Yamanashi,Fukuoka,0.134
Yamanashi,Hakata Port,0
Yamanashi,Saga,0
Yamanashi,Izuhara Port,0
Yamanashi,Miyazaki,0
Yamanashi,Kagoshima,0
Yamanashi,Naha,0
Yamanashi,Other,0
Nagano,New Chitose,0.1283
Nagano,Hakodate,0
Nagano,Aomori,0
Nagano,Sendai,0
Nagano,Ibaraki,0.0062
Nagano,Haneda,23.6175
Nagano,Narita,50.0289
Nagano,Komatsu,1.425
Nagano,Toyama,0.0098
Nagano,Mt.Fuji Shizuoka,0.077
Nagano,Chubu,16.02
Nagano,Kansai,8.1896
Nagano,Yonago,0
Nagano,Okayama,0.0514
Nagano,Hiroshima,0
Nagano,Sakai Port,0
Nagano,Kanmon (Shimonoseki) Port,0
Nagano,Takamatsu,0
Nagano,Fukuoka,0.4462
Nagano,Hakata Port,0
Nagano,Saga,0
Nagano,Izuhara Port,0
Nagano,Miyazaki,0
Nagano,Kagoshima,0
Nagano,Naha,0
Nagano,Other,0
Gifu,New Chitose,0.18
Gifu,Hakodate,0
Gifu,Aomori,0
Gifu,Sendai,0
Gifu,Ibaraki,0
Gifu,Haneda,15.0695
Gifu,Narita,19.0405
Gifu,Komatsu,4.5856
Gifu,Toyama,0.2221
Gifu,Mt.Fuji Shizuoka,0.0532
Gifu,Chubu,45.6181
Gifu,Kansai,14.9779
Gifu,Yonago,0
Gifu,Okayama,0
Gifu,Hiroshima,0.0237
Gifu,Sakai Port,0
Gifu,Kanmon (Shimonoseki) Port,0
Gifu,Takamatsu,0
Gifu,Fukuoka,0.2296
Gifu,Hakata Port,0
Gifu,Saga,0
Gifu,Izuhara Port,0
Gifu,Miyazaki,0
Gifu,Kagoshima,0
Gifu,Naha,0
Gifu,Other,0
Shizuoka,New Chitose,0.0271
Shizuoka,Hakodate,0
Shizuoka,Aomori,0
Shizuoka,Sendai,0
Shizuoka,Ibaraki,0.0231
Shizuoka,Haneda,23.7446
Shizuoka,Narita,51.1267
Shizuoka,Komatsu,0.0177
Shizuoka,Toyama,0.0327
Shizuoka,Mt.Fuji Shizuoka,4.9146
Shizuoka,Chubu,7.7084
Shizuoka,Kansai,12.1151
Shizuoka,Yonago,0
Shizuoka,Okayama,0.0132
Shizuoka,Hiroshima,0.022
Shizuoka,Sakai Port,0
Shizuoka,Kanmon (Shimonoseki) Port,0
Shizuoka,Takamatsu,0
Shizuoka,Fukuoka,0.2331
Shizuoka,Hakata Port,0.0214
Shizuoka,Saga,0
Shizuoka,Izuhara Port,0
Shizuoka,Miyazaki,0
Shizuoka,Kagoshima,0
Shizuoka,Naha,0
Shizuoka,Other,0
Aichi,New Chitose,0.1883
Aichi,Hakodate,0
Aichi,Aomori,0
Aichi,Sendai,0
Aichi,Ibaraki,0.0024
Aichi,Haneda,8.8749
Aichi,Narita,16.5072
Aichi,Komatsu,2.252
Aichi,Toyama,0.0219
Aichi,Mt.Fuji Shizuoka,0.2131
Aichi,Chubu,53.1193
Aichi,Kansai,18.2888
Aichi,Yonago,0
Aichi,Okayama,0.0557
Aichi,Hiroshima,0.0044
Aichi,Sakai Port,0
Aichi,Kanmon (Shimonoseki) Port,0
Aichi,Takamatsu,0.0214
Aichi,Fukuoka,0.3723
Aichi,Hakata Port,0.0235
Aichi,Saga,0
Aichi,Izuhara Port,0
Aichi,Miyazaki,0
Aichi,Kagoshima,0
Aichi,Naha,0.0547
Aichi,Other,0
Mie,New Chitose,0.1437
Mie,Hakodate,0
Mie,Aomori,0
Mie,Sendai,0
Mie,Ibaraki,0
Mie,Haneda,8.9481
Mie,Narita,6.1802
Mie,Komatsu,0.4308
Mie,Toyama,0
Mie,Mt.Fuji Shizuoka,0
Mie,Chubu,64.4897
Mie,Kansai,19.6108
Mie,Yonago,0
Mie,Okayama,0
Mie,Hiroshima,0
Mie,Sakai Port,0
Mie,Kanmon (Shimonoseki) Port,0
Mie,Takamatsu,0.1967
Mie,Fukuoka,0
Mie,Hakata Port,0
Mie,Saga,0
Mie,Izuhara Port,0
Mie,Miyazaki,0
Mie,Kagoshima,0
Mie,Naha,0
Mie,Other,0
Shiga,New Chitose,0
Shiga,Hakodate,0
Shiga,Aomori,0
Shiga,Sendai,0
Shiga,Ibaraki,0
Shiga,Haneda,5.6056
Shiga,Narita,8.0548
Shiga,Komatsu,0.9976
Shiga,Toyama,0
Shiga,Mt.Fuji Shizuoka,0
Shiga,Chubu,7.8222
Shiga,Kansai,77.3446
Shiga,Yonago,0
Shiga,Okayama,0.1752
Shiga,Hiroshima,0
Shiga,Sakai Port,0
Shiga,Kanmon (Shimonoseki) Port,0
Shiga,Takamatsu,0
Shiga,Fukuoka,0
Shiga,Hakata Port,0
Shiga,Saga,0
Shiga,Izuhara Port,0
Shiga,Miyazaki,0
Shiga,Kagoshima,0
Shiga,Naha,0
Shiga,Other,0
Kyoto,New Chitose,0.119
Kyoto,Hakodate,0
Kyoto,Aomori,0
Kyoto,Sendai,0.0045
Kyoto,Ibaraki,0
Kyoto,Haneda,16.1708
Kyoto,Narita,21.6631
Kyoto,Komatsu,0.0332
Kyoto,Toyama,0.0235
Kyoto,Mt.Fuji Shizuoka,0.0323
Kyoto,Chubu,1.4939
Kyoto,Kansai,59.962
