Area of Visit,Sex/Age,Percentage
Nara,Female/30~39,14.2834
Nara,Female/40~49,8.1612
Nara,Female/50~59,4.4065
Nara,Female/60~69,2.5877
Nara,Female/70+,0.8343
Wakayama,Male/0~19,1.5664
Wakayama,Male/20~29,13.3473
Wakayama,Male/30~39,16.6009
Wakayama,Male/40~49,8.2928
Wakayama,Male/50~59,5.4282
Wakayama,Male/60~69,3.3261
Wakayama,Male/70+,0.849
Wakayama,Female/0~19,0.5662
Wakayama,Female/20~29,13.1319
Wakayama,Female/30~39,14.8793
Wakayama,Female/40~49,8.6015
Wakayama,Female/50~59,7.4427
Wakayama,Female/60~69,5.0203
Wakayama,Female/70+,0.9473
Tottori,Male/0~19,1.1015
Tottori,Male/20~29,11.1249
Tottori,Male/30~39,14.1399
Tottori,Male/40~49,11.6743
Tottori,Male/50~59,6.0156
Tottori,Male/60~69,5.4849
Tottori,Male/70+,1.805
Tottori,Female/0~19,0.4891
Tottori,Female/20~29,10.4963
Tottori,Female/30~39,11.4025
Tottori,Female/40~49,8.7865
Tottori,Female/50~59,9.4626
Tottori,Female/60~69,5.8852
Tottori,Female/70+,2.1315
Shimane,Male/0~19,0.5613
Shimane,Male/20~29,11.1719
Shimane,Male/30~39,14.8677
Shimane,Male/40~49,11.4232
Shimane,Male/50~59,6.4114
Shimane,Male/60~69,11.2845
Shimane,Male/70+,4.0141
Shimane,Female/0~19,0
Shimane,Female/20~29,3.9792
Shimane,Female/30~39,9.0638
Shimane,Female/40~49,7.076
Shimane,Female/50~59,9.6683
Shimane,Female/60~69,7.6926
Shimane,Female/70+,2.786
Okayama,Male/0~19,1.2707
Okayama,Male/20~29,12.1434
Okayama,Male/30~39,14.8025
Okayama,Male/40~49,9.2814
Okayama,Male/50~59,5.0534
Okayama,Male/60~69,4.8896
Okayama,Male/70+,2.7661
Okayama,Female/0~19,1.1376
Okayama,Female/20~29,10.1553
Okayama,Female/30~39,13.3056
Okayama,Female/40~49,11.3535
Okayama,Female/50~59,6.8053
Okayama,Female/60~69,5.4019
Okayama,Female/70+,1.6336
Hiroshima,Male/0~19,1.9307
Hiroshima,Male/20~29,19.6292
Hiroshima,Male/30~39,20.7267
Hiroshima,Male/40~49,6.6975
Hiroshima,Male/50~59,4.548
Hiroshima,Male/60~69,4.1226
Hiroshima,Male/70+,1.5185
Hiroshima,Female/0~19,1.2967
Hiroshima,Female/20~29,12.3648
Hiroshima,Female/30~39,11.8782
Hiroshima,Female/40~49,5.0486
Hiroshima,Female/50~59,4.631
Hiroshima,Female/60~69,3.9737
Hiroshima,Female/70+,1.6339
Yamaguchi,Male/0~19,1.3586
Yamaguchi,Male/20~29,11.5246
Yamaguchi,Male/30~39,16.7958
Yamaguchi,Male/40~49,9.3396
Yamaguchi,Male/50~59,7.0936
Yamaguchi,Male/60~69,9.7153
Yamaguchi,Male/70+,1.4131
Yamaguchi,Female/0~19,0.8638
Yamaguchi,Female/20~29,9.5589
Yamaguchi,Female/30~39,12.5148
Yamaguchi,Female/40~49,6.2983
Yamaguchi,Female/50~59,6.4795
Yamaguchi,Female/60~69,6.5224
Yamaguchi,Female/70+,0.5216
Tokushima,Male/0~19,0
Tokushima,Male/20~29,9.4853
Tokushima,Male/30~39,8.4793
Tokushima,Male/40~49,11.6848
Tokushima,Male/50~59,11.31
Tokushima,Male/60~69,7.4479
Tokushima,Male/70+,2.9324
Tokushima,Female/0~19,0.6751
Tokushima,Female/20~29,6.3475
Tokushima,Female/30~39,9.9595
Tokushima,Female/40~49,10.9314
Tokushima,Female/50~59,12.5625
Tokushima,Female/60~69,6.2787
Tokushima,Female/70+,1.9057
Kagawa,Male/0~19,0.9879
Kagawa,Male/20~29,10.3338
Kagawa,Male/30~39,12.9616
Kagawa,Male/40~49,9.519
Kagawa,Male/50~59,6.1416
Kagawa,Male/60~69,5.6808
Kagawa,Male/70+,2.0201
Kagawa,Female/0~19,0.3119
Kagawa,Female/20~29,9.758
Kagawa,Female/30~39,14.4165
Kagawa,Female/40~49,11.6044
Kagawa,Female/50~59,9.3275
Kagawa,Female/60~69,4.7061
Kagawa,Female/70+,2.2309
Ehime,Male/0~19,1.8061
Ehime,Male/20~29,11.333
Ehime,Male/30~39,14.8212
Ehime,Male/40~49,10.1244
Ehime,Male/50~59,8.1629
Ehime,Male/60~69,5.8838
Ehime,Male/70+,2.9224
Ehime,Female/0~19,0.5599
Ehime,Female/20~29,6.5606
Ehime,Female/30~39,8.7211
Ehime,Female/40~49,10.5207
Ehime,Female/50~59,10.921
Ehime,Female/60~69,6.4834
Ehime,Female/70+,1.1796
Kochi,Male/0~19,0.9803
Kochi,Male/20~29,8.7852
Kochi,Male/30~39,5.717
Kochi,Male/40~49,6.5903
Kochi,Male/50~59,7.1543
Kochi,Male/60~69,14.4378
Kochi,Male/70+,5.0326
Kochi,Female/0~19,1.0495
Kochi,Female/20~29,4.8921
Kochi,Female/30~39,7.425
Kochi,Female/40~49,10.9331
Kochi,Female/50~59,11.9903
Kochi,Female/60~69,9.9879
Kochi,Female/70+,5.0245
Fukuoka,Male/0~19,1.1549
Fukuoka,Male/20~29,13.6658
Fukuoka,Male/30~39,16.5726
Fukuoka,Male/40~49,8.5321
Fukuoka,Male/50~59,4.6518
Fukuoka,Male/60~69,3.4809
Fukuoka,Male/70+,1.0209
Fukuoka,Female/0~19,1.1649
Fukuoka,Female/20~29,16.0863
Fukuoka,Female/30~39,15.5545
Fukuoka,Female/40~49,8.5758
Fukuoka,Female/50~59,6.089
Fukuoka,Female/60~69,2.7016
Fukuoka,Female/70+,0.749
Saga,Male/0~19,0.982
Saga,Male/20~29,7.4292
Saga,Male/30~39,14.4976
Saga,Male/40~49,8.9928
Saga,Male/50~59,7.5123
Saga,Male/60~69,6.6748
Saga,Male/70+,1.6499
Saga,Female/0~19,1.2498
Saga,Female/20~29,9.9097
Saga,Female/30~39,9.1862
Saga,Female/40~49,11.9371
Saga,Female/50~59,12.1209
Saga,Female/60~69,5.7783
Saga,Female/70+,2.0794
Nagasaki,Male/0~19,1.7215
Nagasaki,Male/20~29,13.083
Nagasaki,Male/30~39,16.8946
Nagasaki,Male/40~49,10.5819
Nagasaki,Male/50~59,6.7219
Nagasaki,Male/60~69,7.0704
Nagasaki,Male/70+,1.8971
Nagasaki,Female/0~19,0.4206
Nagasaki,Female/20~29,8.7145
Nagasaki,Female/30~39,11.8096
Nagasaki,Female/40~49,9.7571
Nagasaki,Female/50~59,6.535
Nagasaki,Female/60~69,3.2906
Nagasaki,Female/70+,1.5023
Kumamoto,Male/0~19,2.02
Kumamoto,Male/20~29,10.5584
Kumamoto,Male/30~39,14.9917
Kumamoto,Male/40~49,10.1054
Kumamoto,Male/50~59,5.8484
Kumamoto,Male/60~69,5.1086
Kumamoto,Male/70+,2.2414
Kumamoto,Female/0~19,1.1484
Kumamoto,Female/20~29,8.3093
Kumamoto,Female/30~39,13.5732
Kumamoto,Female/40~49,10.6899
Kumamoto,Female/50~59,8.9357
Kumamoto,Female/60~69,4.777
Kumamoto,Female/70+,1.6926
Oita,Male/0~19,0.6736
Oita,Male/20~29,11.0205
Oita,Male/30~39,14.1661
Oita,Male/40~49,8.4524
Oita,Male/50~59,5.4895
Oita,Male/60~69,4.8047
Oita,Male/70+,1.769
Oita,Female/0~19,0.9966
Oita,Female/20~29,14.4571
Oita,Female/30~39,14.1559
Oita,Female/40~49,9.667
